Min_samples	Epsilon	N_clusters	N_outliers	Homogeneity_score	Completeness_score	V_measure	Adjusted_rand_score	Adjusted_mutual_info_score
2	0.1	12	11	0.34457188411763173	0.23728283190189486	0.2810357644483176	0.006845637583892617	0.0022889319293092065
2	0.2	1	0	0.0	1.0	0.0	0.0	0.0
2	0.3	1	0	0.0	1.0	0.0	0.0	0.0
2	0.4	1	0	0.0	1.0	0.0	0.0	0.0
2	0.5	1	0	0.0	1.0	0.0	0.0	0.0
3	0.1	5	25	0.1384778272781572	0.15377482305361256	0.14572598990889293	-0.007361522578328396	-0.016043837314724897
3	0.2	1	0	0.0	1.0	0.0	0.0	0.0
3	0.3	1	0	0.0	1.0	0.0	0.0	0.0
3	0.4	1	0	0.0	1.0	0.0	0.0	0.0
3	0.5	1	0	0.0	1.0	0.0	0.0	0.0
4	0.1	3	36	0.09295592425399161	0.1671451382135653	0.11946995263920632	-0.005224260958205913	0.0002642750795224231
4	0.2	1	0	0.0	1.0	0.0	0.0	0.0
4	0.3	1	0	0.0	1.0	0.0	0.0	0.0
4	0.4	1	0	0.0	1.0	0.0	0.0	0.0
4	0.5	1	0	0.0	1.0	0.0	0.0	0.0
5	0.1	0	50	0.0	1.0	0.0	0.0	0.0
5	0.2	1	0	0.0	1.0	0.0	0.0	0.0
5	0.3	1	0	0.0	1.0	0.0	0.0	0.0
5	0.4	1	0	0.0	1.0	0.0	0.0	0.0
5	0.5	1	0	0.0	1.0	0.0	0.0	0.0
6	0.1	0	50	0.0	1.0	0.0	0.0	0.0
6	0.2	1	0	0.0	1.0	0.0	0.0	0.0
6	0.3	1	0	0.0	1.0	0.0	0.0	0.0
6	0.4	1	0	0.0	1.0	0.0	0.0	0.0
6	0.5	1	0	0.0	1.0	0.0	0.0	0.0
